AR_ID,NID_ID,Dam_Name,Year_Removed,Latitude,Longitude,City_County,River,HUC8,State,Dam_Height_ft,Dam_Length_ft,Year_Built,Owner,Original Use,Type_Material,Miles_Restored_US,Miles_Restored_DS,River_Miles_Reported,Last_Updated,,,,,,,,,,
CA-033,,Upper Dam (Lost Man Dam),1989,41.329068,-124.02192,,Lost Man Creek,Mad-Redwood,CA,7,57,,,,,,,,11/10/2017,,,,,,,,,,
CA-034,,Unnamed Dam #1,1992,,,,Wildcat Creek,Lower Susquehanna,CA,6,,,,,,,,,11/10/2017,,,,,,,,,,
CA-035,,Unnamed Dam #2,1992,,,,Wildcat Creek,Lower Susquehanna,CA,6,,,,,,,,,11/10/2017,,,,,,,,,,
CA-036,,Point Four Dam,1993,,,,Butte Creek,,CA,6,,,,,,,,,11/10/2017,,,,,,,,,,
CA-037,,C-Lind Dam #1,1993,,,,,,CA,56,,,,,,,,,11/10/2017,,,,,,,,,,
CA-038,,Lake Christopher Dam,1994,,,,Cold Creek,,CA,10,400,,,,,,,,11/10/2017,,,,,,,,,,
CA-039,,McPherrin Dam,1998,39.44674,-121.874,Biggs,Butte Creek,Butte Creek,CA,12,,,,,,,,,11/10/2017,,,,,,,,,,
CA-040,,Western Canal East Dam,1998,,,,Butte Creek,Butte Creek,CA,10,,,,,,,,,11/10/2017,,,,,,,,,,
CA-041,,Western Canal Main Dam,1998,,,,Butte Creek,Butte Creek,CA,10,,,,,,,,,11/10/2017,,,,,,,,,,
CA-042,,Unnamed small dam #1,1998,,,,Guadalupe River,,CA,,,,,,,,,,11/10/2017,,,,,,,,,,
CA-043,,Unnamed small dam #2,1998,,,,Guadalupe River,,CA,,,,,,,,,,11/10/2017,,,,,,,,,,
CA-044,,McCormick-Saeltzer Dam,2000,40.49316,-122.471,Redding,Clear Creek,Clear Creek-Sacramento River,CA,18,60,1907,,,,,,12,11/10/2017,,,,,,,,,,
CA-045,,Swim Dam #1,2001,37.51295,-121.827,Sunol,Alameda Creek,San Francisco Bay,CA,,,,,,,,,,11/10/2017,,,,,,,,,,
CA-046,,Swim Dam #2,2001,37.51093,-121.826,Sunol,Alameda Creek,San Francisco Bay,CA,,,,,,,,,,11/10/2017,,,,,,,,,,
CA-047,,Crocker Creek Dam,2002,38.77714,-122.959,Cloverdale,Crocker Creek,Russian,CA,30,80,1904,,Recreation,Concrete flashboard,,,2,11/10/2017,,,,,,,,,,
CA-048,,Unnamed Dam,2002,,,,Ferrari Creek,Crosswicks-Neshaminy,CA,5,,,,,,,,,11/10/2017,,,,,,,,,,
CA-049,,Unnamed Arizona Crossing,2002,,,,Solstice Creek,,CA,,,,,,,,,,11/10/2017,,,,,,,,,,
CA-050,,North Debris Dam,2002,,,,Unnamed Trib. to the Los Angeles River,,CA,20,,,,,,,,,11/10/2017,,,,,,,,,,
CA-051,,Trancas Debris Dam,2002,,,,Unnamed Trib. to the Trancas Canyon,,CA,15,,,,,,,,,11/10/2017,,,,,,,,,,
CA-052,,A-Frame Dam,2003,,,,Brandy Creek,,CA,30,100,,,,,,,,11/10/2017,,,,,,,,,,
CA-053,,East Panther Creek Dam,2016,38.49,-120.3975,Amador County,East Panther Creek,Upper Mokelumne,CA,12,35,1930s ,Pacific Gas & Electric,,Concrete,,,~7,11/10/2017,,,,,,,,,,
CA-054,CA10268,Cascade Diversion Dam,2003,37.718270,-119.682000,"El Portal, CA",Merced River,Upper Merced,CA,18,184,1918,,,,,,,11/10/2017,,,,,,,,,,
CA-055,,Murphy Creek Dam (Sparrow Dam),2003,38.234021,-121.026446,Clements,Murphy Creek,Upper Mokelumne,CA,12,,,,,,,,,11/10/2017,,,,,,,,,,
CA-056,,Mumford Dam,2003,39.27739,-123.208,Redwood Valley,Russian River (West Fork),Russian,CA,,60 (7 feet left in place),,,,,,,45,11/10/2017,,,,,,,,,,
CA-057,,Haypress Pond Dam,2003,37.86288,-122.547,Golden Gate National Recreation Area,Unnamed Tributary,Tomales-Drake Bays,CA,20,,,,Watering stock,Earthen,,,,11/10/2017,,,,,,,,,,
CA-058,,West Panther Creek Dam,2003,38.492942,-120.393264,Amador County,West Panther Creek,Upper Mokelumne,CA,14,64,1930s,Pacific Gas and Electric Company,,Concrete,,,~2.5,11/10/2017,,,,,,,,,,
CA-059,,York Creek Diversion Structure,2004,38.5095,-122.496,St. Helena,York Creek,San Pablo Bay,CA,,,,,,Concrete masonry,,,2.5,11/10/2017,,,,,,,,,,
CA-060,,Niles Dam,2006,37.58591,-121.963,Union City,Alameda Creek,San Francisco Bay,CA,,,,,,,,,,11/10/2017,,,,,,,,,,
CA-061,,Sunol Dam,2006,37.5944,-121.902,Sunol,Alameda Creek,San Francisco Bay,CA,,,,,,,,,,11/10/2017,,,,,,,,,,
CA-062,,Horse Creek Dam,2006,34.83759,-120.017,"Los Padres National Forest, Los Olivos",Horse Creek,Santa Maria,CA,12,,,,,,,,13,11/10/2017,,,,,,,,,,
CA-063,,Tucker Road Ford,2006,37.09985,-121.958,Los Gatos,Soquel Creek,Monterey Bay,CA,5,,,,,Concrete ford,,,2.5,11/10/2017,,,,,,,,,,
CA-064,,Unnamed Dam,2006,,,,Ward Creek,Crosswicks-Neshaminy,CA,,,,,,,,,,11/10/2017,,,,,,,,,,
CA-065,,Araujo Dam,2007,41.687640,-122.530000,Siskiyou County,Shasta River,Shasta,CA,,,1856,,Flashboard diversion dam installed every summer,,,,,11/10/2017,,,,,,,,,,
CA-066,,Rooney Bros Dam,2008,38.35819,-121.343,Sacramento County,Consumnes River,Upper Cosumnes,CA,,,,,,,,,8,11/10/2017,,,,,,,,,,
CA-067,,Hall Wines Dam (Dry Creek Dam),2008,38.377060,-122.316000,Napa County,Dry Creek,San Pablo Bay,CA,,,1960,Hall Wines,Vineyard frost protection,Flashboard,,,16.9,11/10/2017,,,,,,,,,,
CA-068,,East Mill Creek Barrier Removal,2008,40.321460,-124.273000,Humboldt County,East Mill Creek,Mattole,CA,12,,,,,,,,0.75,11/10/2017,,,,,,,,,,
CA-069,,White Gulch Dam #1 (Whites Gulch Lower Dam),2008,41.290900,-123.083000,Siskiyou County,"Whites Gulch, Tributary to the Salmon River",Salmon,CA,,,"Originally built in the late 1800s, rebuilt in 1980s",,2 diversion dams,,,,1.5,11/10/2017,,,,,,,,,,
CA-070,,Wildcat Dam,2009,40.42024,-121.961,Anderson ,Battle Creek,Battle Creek,CA,,,1912,Pacific Gas & Electric,Hydropower,,,,42,11/10/2017,,,,,,,,,,
CA-071,,Percolation Dam,2009,38.52162,-121.965,Solano County,Putah Creek,Upper Putah,CA,,,1930s ,City of Winter,Increase local groundwater elevations,,,,,11/10/2017,,,,,,,,,,
CA-072,,Shasta River Water Association Diversion Dam,2009,40.85339,-122.347,Shasta County,Nelson Creek,Sacramento Headwaters,CA,,,1912,,Irrigation,,,,29,11/10/2017,,,,,,,,,,
CA-073,,Camp Meeker Dam,2009,38.42465,-122.959,"Occidental, CA",Dutch Bill Creek,Russian,CA,12,90,1950s,Camp Meeker Recreation and Park District,Recreation,Concrete,,,3.4,11/10/2017,,,,,,,,,,
CA-074,,Waterman Dam,2009,37.214370,-122.176097,Boulder Creek,Waterman Creek,San Francisco Coastal South,CA,12,50,1900,Redtree Properties,"Mill, Industrial",Timber-crib,,,1.5,11/10/2017,,,,,,,,,,
CA-075,,Glenbrook Gulch Dam/ Anadromous Fish Habitat Restoration,2010,39.265260,-123.669000,Mendocino County,Glenbrook Gulch (Albion River),Big-Navarro-Garcia,CA,10,"95 (15 feet wide at the crest, 45 feet wide at its base)",,Campbell Timber Ltd. or previous timber owner,Water diversion,Earthen,,,0.66,11/10/2017,,,,,,,,,,
CA-076,,Fife Creek Check Dam ,2010,38.53338,-123.004,Guerneville,Fife Creek,Russian,CA,,,,,,,,,,11/10/2017,,,,,,,,,,
CA-077,,Ojai Valley Trail Ford,2011,34.37979,-119.307,Oak View,San Antonio Creek,Ventura,CA,,,,,,,,,15,11/10/2017,,,,,,,,,,
CA-078,,Camp Nine Dam,2012,38.13576,-120.377,Vallecito,Stanislaus River,Upper Stanislaus,CA,,,1961/62,PG&E,,Thick steel braces mounted on concrete pads affixed to bed rock,,,,11/10/2017,,,,,,,,,,
CA-079,,Hostler Creek Dam ,2012,41.07869,-123.668,Hoopa,Hostler Creek,Trinity,CA,14,,1940,Hoopa Tribe,Infiltration gallery to get water,Concrete/Rebar,,,,11/10/2017,,,,,,,,,,
CA-080,,Bear Creek Dam #3,2012,37.41515,-122.243,Woodside,Bear Creek (San Francisquito Creek),Coyote,CA,7,27,1940s,Roger Bamford ,Likely created for water diversion,Concrete and Grouted Cobble / Boulders,,,>6,11/10/2017,,,,,,,,,,
CA-081,,Cahill Dam,2013,37.03797,-121.986,Santa Cruz,Branciforte Creek,Monterey Bay,CA,8,40,1931,Private land owner,"Water supply, recreation, fire protection",Rock/Concrete/Rebar,,,3,11/10/2017,,,,,,,,,,
CA-082,,Bonde Weir,2013,37.44744,-122.17,Palo Alto,San Francisquito Creek,Coyote,CA,2.1,45,1908,,Erosion control,Bank to bank concrete sill,,,,11/10/2017,,,,,,,,,,
CA-083,,Hammer Diversion Dam,2014,40.12336,-122.72200,Red Bluff,South Fork Cottonwood Creek,Cottonwood Creek,CA,,,1934,Private,Domestic water and hydropower ,,,,5,11/10/2017,,,,,,,,,,
CA-084,,HJFD10,2014,33.68371,-117.51600,Rancho Santa Margarita,,Aliso-San Onofre,CA,1.5,16,1930s-1950s,Orange County,Recreational fishing,,,,,11/10/2017,,,,,,,,,,
CA-085,,HJFD6,2014,33.68332,-117.516,Rancho Santa Margarita,,Aliso-San Onofre,CA,2.3,12,1930s-1950s,Orange County,Recreational fishing,,,,,11/10/2017,,,,,,,,,,
CA-086,,HJFD7,2014,33.68333,-117.516,Rancho Santa Margarita,,Aliso-San Onofre,CA,2.5,21,1930s-1950s,Orange County,Recreational fishing,,,,,11/10/2017,,,,,,,,,,
CA-087,,HJFD8,2014,33.68352,-117.51600,Rancho Santa Margarita,,Aliso-San Onofre,CA,5,,1930s-1950s,Orange County,Recreational fishing,,,,,11/10/2017,,,,,,,,,,
CA-088,,HJFD9,2014,33.6837,-117.51600,Rancho Santa Margarita,,Aliso-San Onofre,CA,2.3,14,1930s-1950s,Orange County,Recreational fishing,,,,,11/10/2017,,,,,,,,,,
CA-089,,Lion Creek Diversion Dam,2014,34.54438,-119.16400,Ojai,Lion Creek,Santa Clara,CA,3,25,1940,,Provide water for the Middle Lion Creek Campground,Concrete diversion dam,,,7,11/10/2017,,,,,,,,,,
CA-090,,TCFD10,2014,33.67441,-117.525,Rancho Santa Margarita,Trabuco Creek,Aliso-San Onofre,CA,2.5,,1930s-1950s,Orange County,Recreational fishing,,,,,11/10/2017,,,,,,,,,,
CA-091,,TCFD11,2014,33.67447,-117.525,Rancho Santa Margarita,Trabuco Creek,Aliso-San Onofre,CA,6.5,40,1930s-1950s,Orange County,Recreational fishing,,,,,11/10/2017,,,,,,,,,,
CA-092,,TCFD7,2014,33.67418,-117.526,Rancho Santa Margarita,Trabuco Creek,Aliso-San Onofre,CA,6,31,1930s-1950s,Orange County,Recreational fishing,,,,,11/10/2017,,,,,,,,,,
CA-093,,TCFD9,2014,33.67436,-117.525,Rancho Santa Margarita,Trabuco Creek,Aliso-San Onofre,CA,9,25,1930s-1950s,Orange County,Recreational fishing,,,,,11/10/2017,,,,,,,,,,
CA-094,,Unknown,2014,39.42051,-123.50200,Irmulco,Olds Creek,Big-Navarro-Garcia,CA,,,1908,Mendocino Redwood Co,,Flashboard dam,,,2.6,11/10/2017,,,,,,,,,,
CA-095,,Whites Gulch Upper Dam,2008,41.281820,-123.075701,Etna,Whites Gulch,Salmon,CA,,,,,,,,,,11/10/2017,,,,,,,,,,
CA-096,,Memorial Park Dam,2015,37.273915,-122.288465,San Mateo County,Pescadero Creek,San Francisco Coastal South,CA,,,1938,San Mateo County Resource Conservation,,,,,62,11/10/2017,,,,,,,,,,
CA-097,,San Clemente Dam,2015,36.4359,-121.7088,Monterey County,Carmel River,Central Coastal,CA,106,300,1921,California American Water,Water diversion,Arch,,,25,11/10/2017,,,,,,,,,,
CA-098,,Maria Ygnacio Aijian Barrier,2014,34.466395,-119.794309,Santa Barbara,Maria Ygnacio Creek,Santa Barbara Coastal,CA,5,65,,,,,,,0.5,11/10/2017,,,,,,,,,,
CA-099,,Rodeo Grounds Berm,2008,34.04189,-118.57961,Los Angeles County,Topanga Creek,Santa Monica Bay,CA,12 to 18,1000,,,,,,,0.6,11/10/2017,,,,,,,,,,
CA-100,,Old Carmel River Dam,2016,36.43875,-121.7048028,Monterey,Carmel River,Central Coastal,CA,32,,1883,California American Water,,Concrete,,,0.7 miles and 100ft,11/10/2017,,,,,,,,,,
CA-101,,Benbow Dam,2016,40.0666,-123.7961,Eureka,South Fork Eel River,South Fork Eel,CA,20,300,1931,State Parks,,Concrete,,,50,11/10/2017,,,,,,,,,,
CA-102,,Dream Lake Dam,2011,40.442033,-121.408425,Chester,Hot Springs Creek,North Fork Feather,CA,,,,,,,,,,11/10/2017,,,,,,,,,,
CA-103,,McGowan Dam,1998,,,,Butte Creek,Butte Creek,CA,6,,Early 1900s,,Irrigation diversion,,,,25 miles total,11/10/2017,,,,,,,,,,
CA-104,,HJFD15,2017,33.68806214420,-117.51254396600,Orange County,Holy Jim Creek,Aliso-San Onofre,CA,9.3,30,1970s,US Forest Service,"Create pools for a stocked rainbow trout fishery, conserve water and wildlife, and provide water for fire suppression",Rock and mortar,,,2 (total),2/8/2018,,,,,,,,,,
CA-105,,HJFD16,2017,33.68876814410,-117.51186996600,Orange County,Holy Jim Creek,Aliso-San Onofre,CA,2,16,1970s,US Forest Service,"Create pools for a stocked rainbow trout fishery, conserve water and wildlife, and provide water for fire suppression",Rock and mortar,,,2 (total),2/8/2018,,,,,,,,,,
CA-106,,HJFD17,2017,33.68884714410,-117.51185396600,Orange County,Holy Jim Creek,Aliso-San Onofre,CA,4,18,1970s,US Forest Service,"Create pools for a stocked rainbow trout fishery, conserve water and wildlife, and provide water for fire suppression",Rock and mortar,,,2 (total),2/8/2018,,,,,,,,,,
CA-107,,HJFD18,2017,33.68899014410,-117.51175896600,Orange County,Holy Jim Creek,Aliso-San Onofre,CA,3.5,2.2,1970s,US Forest Service,"Create pools for a stocked rainbow trout fishery, conserve water and wildlife, and provide water for fire suppression",Rock and mortar,,,2 (total),2/8/2018,,,,,,,,,,
CA-108,,HJFD19,2017,33.68914814400,-117.51171996600,Orange County,Holy Jim Creek,Aliso-San Onofre,CA,2.5,16,1970s,US Forest Service,"Create pools for a stocked rainbow trout fishery, conserve water and wildlife, and provide water for fire suppression",Rock and mortar,,,2 (total),2/8/2018,,,,,,,,,,
CA-109,,Milliken Creek Dam,2017,38.349033,-122.263458,Napa/Napa,Milliken Creek/Napa River,San Pablo Bay,CA,13,,1950s,,Golf course irrigation,Concrete shell filled with dirt with a corrugated steel culvert,,,,2/8/2018,,,,,,,,,,
CA-110,,SCFD10,2017,33.75190814010,-117.57049095100,Orange County,Silverado Creek,Santa Ana,CA,7.5,53,1970s,US Forest Service,"Create pools for a stocked rainbow trout fishery, conserve water and wildlife, and provide water for fire suppression",Rock and mortar,,,2 (total),2/8/2018,,,,,,,,,,
CA-111,,SCFD12,2017,33.75222713990,-117.56809195100,Orange County,Silverado Creek,Santa Ana,CA,4,25,1970s,US Forest Service,"Create pools for a stocked rainbow trout fishery, conserve water and wildlife, and provide water for fire suppression",Rock and mortar,,,2 (total),2/8/2018,,,,,,,,,,
CA-112,,SCFD7,2017,33.75138867410,-117.57111963600,Orange County,Silverado Creek,Santa Ana,CA,6.5,45,1970s,US Forest Service,"Create pools for a stocked rainbow trout fishery, conserve water and wildlife, and provide water for fire suppression",Rock and mortar,,,2 (total),2/8/2018,,,,,,,,,,
CA-113,,SCFD8,2017,33.75165283680,-117.57100771500,Orange County,Silverado Creek,Santa Ana,CA,6.5,40,1970s,US Forest Service,"Create pools for a stocked rainbow trout fishery, conserve water and wildlife, and provide water for fire suppression",Rock and mortar,,,2 (total),2/8/2018,,,,,,,,,,
CA-114,,Dennett Dam,2018,37.62733,-120.98784,Modesto/Stanislaus,Tuolumne River,Lower Tuolumne,CA,10,247,1933,Present Owner Unknown (or they don't want to be known). Built by the City of Modesto and condemned by the State of California in the 1940's or 1950's. Riverbed in CA is owned by the State.,Recreational Lake,Wood Timbers and Steel Sheet Piles,36,,,2/5/2019,,,,,,,,,,
CA-115,,HJFD1,2018,33.67930715,-117.517196,Orange County,Holy Jim Creek,Aliso-San Onofre,CA,2.5,16,"Unknown, most of the dams were built or rebuilt in 1970s by Orange County",U.S. Forest Service,"Create pools for a stocked rainbow trout fishery, conserve water and wildlife, and provide water for fire suppression",Rock and mortar,,,,2/5/2019,,,,,,,,,,
CA-116,,HJFD11,2018,33.68381514,-117.515112,Orange County,Holy Jim Creek,Aliso-San Onofre,CA,1,3.5,"Unknown, most of the dams were built or rebuilt in 1970s by Orange County",U.S. Forest Service,"Create pools for a stocked rainbow trout fishery, conserve water and wildlife, and provide water for fire suppression",Rock and mortar,,,,2/5/2019,,,,,,,,,,
CA-117,,HJFD2,2018,33.68053315,-117.517256,Orange County,Holy Jim Creek,Aliso-San Onofre,CA,4,4,"Unknown, most of the dams were built or rebuilt in 1970s by Orange County",U.S. Forest Service,"Create pools for a stocked rainbow trout fishery, conserve water and wildlife, and provide water for fire suppression",Rock and mortar,,,,2/5/2019,,,,,,,,,,
CA-118,,HJFD21,2018,33.69067414,-117.511821,Orange County,Holy Jim Creek,Aliso-San Onofre,CA,7.5 - 4.0 ,50,"Unknown, most of the dams were built or rebuilt in 1970s by Orange County",U.S. Forest Service,"Create pools for a stocked rainbow trout fishery, conserve water and wildlife, and provide water for fire suppression",Rock and mortar,,,,2/5/2019,,,,,,,,,,
CA-119,,HJFD22,2018,33.69085714,-117.51185,Orange County,Holy Jim Creek,Aliso-San Onofre,CA,5,45,"Unknown, most of the dams were built or rebuilt in 1970s by Orange County",U.S. Forest Service,"Create pools for a stocked rainbow trout fishery, conserve water and wildlife, and provide water for fire suppression",Rock and mortar,,,,2/5/2019,,,,,,,,,,
CA-120,,HJFD23,2018,33.69109514,-117.511764,Orange County,Holy Jim Creek,Aliso-San Onofre,CA,3.0 - 0.0 ,34,"Unknown, most of the dams were built or rebuilt in 1970s by Orange County",U.S. Forest Service,"Create pools for a stocked rainbow trout fishery, conserve water and wildlife, and provide water for fire suppression",Rock and mortar,,,,2/5/2019,,,,,,,,,,
