River System,Town,Obstruction,Action,Type of removal,Other Action,complete year,RI Dam #,Lat-Long (if removed or no #),Fishway material,Partners,Funding
Saugatucket River,South Kingstown,Indian Lake,Pool and weir with vertical slots,,,2018,537,,,"RI DEM, NOAA, North Cape Turstees, Indian Lake Home Owners Assoc, Kleinschmidt Assoc, Site Tech",North Cape
Saugatucket River,South Kingstown,Palisades,denil fishway,,eel ramp,2018,426?,"41.450694, -71.49625",concrete,"RIDEM, NOAA, Palisades, Save the Bay,NRCS, CRMC, Town of South Kingstown, USFWS","NOAA, North Cape, CRMC-HRF, Rose Hill, USFWS, Save the Bay"
Saugatucket River,South Kingstown,Saugatucket Pond,Pool and weir with vertical slots,,,,426?,"41.45225, -71.495167",concrete,,
Ten Mile River,,Hunts Mill Dam,denil fishway,,,2011,405,,concrete,"RI DEM, NOAA, ACOE, USFW, CRMS, NRCS, Save the Bay, Ri Salt Water Ahnglers Assoc, City of E Prov, Ten Mile River Watershed Assoc, NBE, E Prov Historical Soc","NOAA Stimulus ACOE, CRMS, NRCS, RI DEM Bond, EPA"
Ten Mile River,,Omega Dam,denil fishway,,,2015,406,,,"RI DEM, NOAA, ACOE, USFW, CRMS, NRCS, Save the Bay, Ri Salt Water Ahnglers Assoc, City of E Prov, Ten Mile River Watershed Assoc, NBE, E Prov Historical Soc","NOAA Stimulus ACOE, CRMS, NRCS, RI DEM Bond, EPA"
Ten Mile River,,Turner Dam,denil fishway,,,2015,407,,concrete,"RI DEM, NOAA, ACOE, USFW, CRMS, NRCS, Save the Bay, Ri Salt Water Ahnglers Assoc, City of E Prov, Ten Mile River Watershed Assoc, NBE, E Prov Historical Soc","NOAA Stimulus ACOE, CRMS, NRCS, RI DEM Bond, EPA"
Wood/Pawcatuck River,,Horseshoe Falls,denil fishway,,eel ramp,2012,249,,"concrete, stone, metal","WPWA, NOAA, NBE, CRMC, USFWS F&O, Towns of Richmond & Charlestown, SB, local landowners","NOAA/CRMC Stimul, USFWS"
Wood/Pawcatuck River,,Shannock Falls,partial removal,,,2010,250,"41.447361, -71.643222",stone,"WPWA, NOAA, NBE, CRMC, USFWS F&O, Towns of Richmond & Charlestown, Save the Bay","NOAA/CRMC Stimul, USFWS, NRCS, Save the Bay, CRMC-HRF"
Wood/Pawcatuck River,,Bradford ,removal ,nature-like fishway,,2018,253,"41.407639, -71.749278",,"RI DEM, NRCS, USFWS, Wood/Pawcatuck Assoc, TNC, NOAA, WPWA","NRCS-WHIP, USFWS, RI Trail Advisory Committee, TNC, USFWS- Sandy, CRMC, RIDEM-BWRF"
Wood/Pawcatuck River,,Potter Hill,denil fishway,,,2016,254,,concrete,"RI DEM, TNC, USFWS, WPWA","RI DEM, TNC, USFWS"
Wood/Pawcatuck River,,White Rock Dam,removed,,,2015,255,"41.405861, -71.843527",,"WPWA, TNC, CT DEEP, USACOE",USFWS- Sandy
Wood/Pawcatuck River,,Kenyon Mill,removed,rock ramp,,2013,,"41.44575, -71.625861",stone,"WPWA, NOAA, NBE, CRMC, USFWS F&O, Towns of Richmond & Charlestown, Save the Bay, Kenyon Industries","NOAA/CRMC Stimul, USFWS"
Woonasquatucket River,,Manton,bypass channel,,,2016,135,,concrete,"WRWSC, NRCS, NOAA, American Rivers, KS, CRMS, USFWS","NRCS-WHIP, CRMC-HRF, American Rivers, USFWS-Nat Fish"
Woonasquatucket River,,Atlantic Mills,denil fishway,,eel ramp,2009,138,,concrete,"WRWSC, NRCS, NOAA, American Rivers, KS, CRMS, USFWS","NRCS-WHIP, CRMC-HRF, American Rivers, USFWS-Nat Fish"
Woonasquatucket River,,Rising Sun,denil fishway,,eel ramp,2007,140,,concrete,"WRWSC, NRCS, NOAA, American Rivers, KS, CRMS, USFWS","NRCS-WHIP, CRMC-HRF, American Rivers, USFWS-Nat Fish"
Woonasquatucket River,,Paragon (one upstream of Rising Sun),removal,,,2010,,,,"WRWSC, NRCS, NOAA, American Rivers, KS, CRMS, USFWS","NRCS-WHIP, CRMC-HRF, American Rivers, USFWS-Nat Fish"
Woonasquatucket River,,Dyerville (one upstream of Atlantic Mills),removal,,,2009,,,,"WRWSC, NRCS, NOAA, American Rivers, KS, CRMS, USFWS","NRCS-WHIP, CRMC-HRF, American Rivers, USFWS-Nat Fish"
