STATE ID,DAM NAME,OTHER  NAME,NID,NO STRUCTURES,OTHER STRUCT ID,LONGITUDE,LATITUDE,COUNTY,CITY/TOWN,RIVER/STREAM,YR COMPLETED,PURPOSES,DRINKING WATER,DAM TYPE,LENGTH (FT),HT (FT) EST,HT (FT),STRUCT HT(FT),HYD HT(FT),SPILL W(FT),SPILL HT(FT),SPILL MAX D(FT),NORM STOR(AC-FT),MAX STOR(AC-FT),NORM SURF AREA(AC),DRN AREA(SQ MI),SW MAX (CFS),OUTMAX(CFS),FRESHET(CFS),HIST HAZARD,HIST SOURCE,HAZARD,HAZARD SOURCE,COMMENT,REGULATED,ACTIVE,PERMIT AUTHORITY,INSP AUTHORITY,ENFORCE AUTHORITY,SIZE,DS JURISDICTION,STATE REGULATORY AGENCY,FED REGULATORY AGENCY,YR MODIFIED,SPILL TYPE,OUTLET GATES,NEAREST CITY/TOWN,DIST TO CITY/TOWN,NON-FED ON FED PROP,NRCS
039,SPRING LAKE,HERRING POND,RI00306,,,-71.66610715,41.97824479,PROVIDENCE,BURRILLVILLE,HERRING BROOK,1885,R,,"GRAVITY,EARTH",55,12,8,9,7,4,7,3,690,840,82,1,56,56,130,LOW,,SIGNIFICANT,GZA 2007,,Y,Y,Y,Y,Y,SMALL,Y,DS,,,,,BURRILLVILLE,2,N,
040,MOHEGAN,,RI04561,,,-71.62396,41.98491,PROVIDENCE,BURRILLVILLE,BRANCH RIVER,,,,,0,,,0,,,,,0,0,0,0,0,,,LOW,,LOW,RIDEM 2006,,UNK,Y,N,N,N,,,W,,,,,,,N,
041,NASONVILLE POND,,RI04015,,,-71.61781306,41.98176953,PROVIDENCE,BURRILLVILLE,BRANCH RIVER,1883,,,,140,14.5,14,,,96,9.5,4.5,20,35,4,75,3168,550,4656,LOW,,LOW,GZA 2007,,Y,Y,N,Y,N,SMALL,Y,W,,,,,NORTH SMITHFIELD,3,N,
042,ROUND TOP POND,,RI00307,,,-71.69992828,42.0019493,PROVIDENCE,BURRILLVILLE,ROUNDTOP BROOK,1905,FR,,"GRAVITY,EARTH",140,14,10,14,9,58,9,4,50,60,10,9,2076,0,745,LOW,,LOW,RIDEM 2006,,Y,Y,N,Y,N,SMALL,Y,W,,,,,BURRILLVILLE,3,N,
043,SLATERSVILLE RESERVOIR UPPER,,RI02501,,,-71.59480286,41.99433132,PROVIDENCE,NORTH SMITHFIELD,BRANCH RIVER,1886,,,"MASONRY,GRAVITY,EARTH",256,,27,36,27,170,27,8,1970,3640,147,89,12118,1170,5796,SIGNIFICANT,ACOE-1979,HIGH,"ACOE 1979, RIDEM DEF & GZA UMAP 2008",,Y,Y,Y,Y,Y,MEDIUM,N,DS,FERC LICENSE TERMINATED 05-2017,,,,NORTH SMITHFIELD,1,N,
044,SLATERSVILLE UPPER TRENCH RETURN NO. 1,,RI04565,,,-71.59592,41.99467,PROVIDENCE,NORTH SMITHFIELD,BRANCH RIVER,,,,,0,,,0,,,,,0,0,0,0,0,,,LOW,,LOW,RIDEM 2006,,UNK,Y,N,N,N,,,W,,,,,,,N,
045,SLATERSVILLE UPPER INTERMEDIATE,,RI04566,,,-71.5946,41.99454,PROVIDENCE,NORTH SMITHFIELD,BRANCH RIVER,,,,,0,,,0,,,,,0,0,0,0,0,,,LOW,,LOW,RIDEM 2006,,Y,Y,N,N,N,,N,W,FERC LICENSE TERMINATED 05-2017,,,,,,N,
046,SLATERSVILLE RESERVOIR MIDDLE,,RI02502,,,-71.58184813,41.99769971,PROVIDENCE,NORTH SMITHFIELD,BRANCH RIVER,1886,,,"MASONRY,OTHER,EARTH",310,,26,15,15,150,15,5.2,740,1330,102,94,7500,0,6028,SIGNIFICANT,ACOE-1979,HIGH,"ACOE 1979, RIDEM DEF & GZA UMAP 2008",,Y,Y,Y,Y,Y,MEDIUM,Y,DS,,,,,NORTH SMITHFIELD,1,N,
047,SLATERSVILLE RESERVOIR LOWER,,RI02503,,,-71.58051304,41.99895096,PROVIDENCE,NORTH SMITHFIELD,BRANCH RIVER,1886,,,"ROCKFILL,MASONRY,EARTH",320,,15,18,14,150,13,5.7,208,328,40,94,8550,1000,6028,LOW,ACOE-1981,SIGNIFICANT,GZA 2004,,Y,Y,Y,Y,Y,SMALL,Y,DS,,,,,NORTH SMITHFIELD,1,N,
048,FORESTDALE POND,,RI02504,,,-71.56406397,41.99607086,PROVIDENCE,NORTH SMITHFIELD,BRANCH RIVER,1883,,,"MASONRY,ROCKFILL,GRAVITY",109,,19.5,19,14,92,14,5,160,280,17,96,5000,31.7,7600,SIGNIFICANT,ACOE-1980,HIGH,"ACOE 1980, RIDEM DEF & GZA UMAP 2008",,Y,Y,Y,Y,N,SMALL,Y,DS,,,,,NORTH SMITHFIELD,0,N,
049,TARKILN MILL POND,,RI04016,,,-71.60013577,41.96570205,PROVIDENCE,BURRILLVILLE,TARKILN BROOK,1882,R,,,150,9,11,,,79,6,4.3,15,35,5,9,2923,,752,LOW,,LOW,GZA MAP 2008 & RIDEM 2008 (RIDEM 2007-SIG),,Y,Y,N,Y,N,SMALL,Y,W,,,,,NORTH SMITHFIELD,2,N,
050,TARKILN POND,,RI00308,,,-71.59819799,41.96463779,PROVIDENCE,BURRILLVILLE,TARKILN BROOK,1886,R,,"GRAVITY,EARTH",140,8,10,10,9,78,8,1.5,65,85,18,9,915,0,745,LOW,,LOW,GZA MAP 2008 & RIDEM 2008 (RIDEM 2007-SIG),,Y,Y,N,Y,N,SMALL,Y,W,,,,,NORTHSMITHFIELD,3,N,
051,NICHOLS POND,,RI00309,,,-71.599678,41.95553211,PROVIDENCE,BURRILLVILLE,TARKILN BROOK,1885,R,,"GRAVITY,EARTH",110,10,9,11,8,47,8,2.5,77,130,24,7,560,44,600,LOW,,SIGNIFICANT,GZA MAP 2008,,Y,Y,Y,Y,Y,SMALL,Y,DS,,,,,NORTH SMITHFIELD,3,N,
052,MOWRY-PAINE POND,CAMP COOKIE,RI04163,,,-71.61611172,41.9290581,PROVIDENCE,GLOCESTER,PAINE BROOK,,R,,"EARTH,MASONRY",250,12.5,11.5,12,8,20,8.5,4.8,20,42,6,2,2612,,354,LOW,,LOW,RIDEM 2006,,Y,Y,N,Y,N,SMALL,Y,W,,,,,GLOCESTER,0,N,
053,O'HARA POND,HARTS,RI04259,,,-71.57889559,41.97940061,PROVIDENCE,NORTH SMITHFIELD,TROUT BROOK,1830,,,"EARTH,MASONRY",170,8,7.7,8,6,6,5.7,2,8,10,2,1,48,60,102,LOW,,LOW,RIDEM 2006,,Y,Y,N,Y,N,SMALL,Y,W,,,,,NORTH SMITHFIELD,0,N,
054,LAKE BEL AIR,,RI04260,,,-71.5827331,41.95551298,PROVIDENCE,BURRILLVILLE,RANKIN BROOK,,R,,"EARTH,MASONRY",180,6,7,7,6,2.5,6,2,20,23,7,1,15,0,140,LOW,,LOW,RIDEM 2006,,Y,Y,N,Y,N,SMALL,Y,W,,,,,NORTH SMITHFIELD,0,N,
055,PRATT POND,,RI04229,,,-71.57676698,42.01029966,PROVIDENCE,NORTH SMITHFIELD,DAWLEY BROOK,,R,,"EARTH,MASONRY",156,2,8,8,5,2,5,0.5,15,18,6,0,15,0,76,LOW,,LOW,RIDEM 2006,,Y,Y,N,Y,N,SMALL,Y,W,,,,,NORTH SMITHFIELD,0,N,
056,WOONSOCKET FALLS,THUNDERMIST,RI03902,,,-71.51796727,41.9994888,PROVIDENCE,WOONSOCKET,BLACKSTONE RIVER,1960,CH,,CONCRETE,268,,17,40,10,200,10,10,400,500,30,369,18900,0,16240,SIGNIFICANT,,SIGNIFICANT,GZA 2004,,N,Y,N,N,N,SMALL,N,W,ACOE/FERC,,,,WOONSOCKET,0,N,
059,MANVILLE,,RI00809,,,-71.4706955,41.9714851,PROVIDENCE,CUMBERLAND / LINCOLN,BLACKSTONE RIVER,1860,,,MASONRY,250,,22,22,19,160,19,3,254,349,58,408,14000,0,21220,SIGNIFICANT,,LOW,GZA 2004,,Y,Y,N,Y,N,SMALL,Y,W,,,,,CUMBERLAND,2,N,
060,ALBION,,RI00808,,,-71.45355221,41.95420839,PROVIDENCE,CUMBERLAND / LINCOLN,BLACKSTONE RIVER,1850,,,MASONRY,400,,18,21,12,300,12,6,235,347,18,411,138000,0,21360,SIGNIFICANT,,LOW,GZA 2004,,Y,Y,N,Y,N,SMALL,Y,W,,,,,LINCOLN,0,N,
061,ASHTON,,RI00807,,,-71.43589018,41.9403915,PROVIDENCE,CUMBERLAND / LINCOLN,BLACKSTONE RIVER,1885,,,"MASONRY,EARTH,ARCH",318,,18,20,10,250,10,8,112,200,35,421,19800,2000,21870,LOW,,LOW,GZA 2004,,Y,Y,N,Y,N,SMALL,Y,W,,,,,CUMBERLAND,0,N,
062,PRATT,,RI01705,,,-71.40889739,41.91358566,PROVIDENCE,CUMBERLAND / LINCOLN,BLACKSTONE RIVER,,,,,0,,12,20,0,,,,236,393,0,0,0,,,SIGNIFICANT,,LOW,RIDEM 2006,,Y,Y,N,Y,N,,Y,W,,,,,CUMBERLAND,,N,
063,VALLEY FALLS POND,SAMOSET,RI00401,,,-71.38978575,41.89944073,PROVIDENCE,CENTRAL FALLS / CUMBERLAND,BLACKSTONE RIVER,1853,,,"GRAVITY,EARTH",220,,22,24,14,186,14,9.4,480,828,60,445,19100,0,19126,SIGNIFICANT,,LOW,GZA 2004,,Y,Y,N,N,N,SMALL,N,W,FERC,,,,CENTRAL FALLS,0,N,
064,CENTRAL FALLS,PANTEX MILL POND,RI00402,,,-71.38019566,41.88773729,PROVIDENCE,CENTRAL FALLS / PAWTUCKET,BLACKSTONE RIVER,1850,H,,"ROCKFILL,GRAVITY,EARTH",220,,14,18,11,210,11,8,98,160,20,473,17300,0,20352,SIGNIFICANT,,LOW,GZA 2004,,Y,Y,N,N,N,SMALL,N,W,FERC,,,,CENTRAL FALLS,0,N,
065,PAWTUCKET UPPER,SLATER MILL POND,RI04270,,,-71.38220974,41.87714388,PROVIDENCE,PAWTUCKET,BLACKSTONE RIVER,1800,,,"CONCRETE,MASONRY",200,,15,15,8,171,7.3,7,45,60,11,474,20700,0,20374,SIGNIFICANT,,LOW,GZA 2004,,Y,Y,N,Y,N,SMALL,Y,W,,,,,PAWTUCKET,0,N,
066,PAWTUCKET LOWER,,RI04271,,,-71.38309473,41.87659834,PROVIDENCE,PAWTUCKET,BLACKSTONE RIVER,1896,H,,MASONRY,200,,17,20,8,180,8,9,12,20,2,474,18000,0,20378,LOW,,LOW,RIDEM 2006,,Y,Y,N,N,N,SMALL,N,CRMC,FERC,,,,PAWTUCKET,0,N,
067,TODD'S POND,,RI04261,,,-71.53786468,41.96775816,PROVIDENCE,NORTH SMITHFIELD,CHERRY BROOK,,,,"EARTH,MASONRY",285,9,10,10,6,24,5.5,1.5,41,75,15,1,143,0,124,LOW,,SIGNIFICANT,GZA 2007,,Y,Y,Y,Y,Y,SMALL,Y,DS,,,,,NORTH SMITHFIELD,0,N,
068,WOONSOCKET RESERVOIR # 3,,RI02505,,,-71.49140928,41.9428978,PROVIDENCE,NORTH SMITHFIELD / SMITHFIELD,CROOKFALL BROOK,1895,S,Y,"GRAVITY,EARTH",1500,,27,28,28,25,24,3,3950,4740,227,3,433,117,330,HIGH,ACOE-1979,HIGH,GZA 2004,,Y,Y,Y,Y,Y,MEDIUM,Y,DS,,,,,NORTH SMITHFIELD,0,N,
069,WOONSOCKET RESERVOIR # 2,,RI04567,,,-71.48701,41.97042,PROVIDENCE,WOONSOCKET,CROOKFALL BROOK,,S,,,0,,,0,,,,,0,0,0,0,0,,,LOW,,LOW,RIDEM 2006,,UNK,Y,N,N,N,,,W,,,,,,,N,
070,WOONSOCKET RESERVOIR # 1,,RI04262,,,-71.48897549,41.97651289,PROVIDENCE,LINCOLN / NORTH SMITHFIELD,CROOKFALL BROOK,1883,S,Y,"EARTH,CONCRETE,MASONRY",240,,41,47,38,45,38,6,105,145,10,8,2200,24,880,SIGNIFICANT,ASH-1981,HIGH,GZA 2004,,Y,Y,Y,Y,Y,MEDIUM,Y,DS,,,,,NORTH SMITHFIELD,0,N,
071,JENCKESVILLE POND LOWER,,RI04377,,,-71.50058744,42.01227187,PROVIDENCE,WOONSOCKET,PETERS RIVER,1905,,,"CONCRETE,EARTH",105,13,9,12,7,95,7,1,3,4,1,11,930,,832,LOW,,LOW,RIDEM 2006,,Y,Y,N,Y,N,SMALL,Y,W,,,,,WOONSOCKET,0,N,
073,HARRIS POND,,RI03901,,,-71.50681303,42.01641079,PROVIDENCE,WOONSOCKET,MILL RIVER,1969,S,Y,"EARTH,GRAVITY,CONCRETE",1018,,38,40,40,150,28,9,1050,2850,109,32,8500,145,7685,HIGH,ACOE-1979,HIGH,ACOE 1979 & GZA UMAP 2008,,Y,Y,Y,Y,Y,MEDIUM,Y,DS,,,,,WOONSOCKET,0,N,
074,MISCOE LAKE,GRANTS MILL POND,RI00801,,,-71.41711422,42.00765227,PROVIDENCE,CUMBERLAND,MISCOE BROOK,1937,,,"ROCKFILL,EARTH",75,,12,14,12,10,12,1.6,226,244,49,3,70,0,1464,LOW,,HIGH,GZA MAP 2008,,Y,Y,Y,Y,Y,SMALL,Y,DS,,,,,CUMBERLAND,2,N,
076,KER-ANNA POND,CAMP KER-ANNA POND,RI04099,,,-71.39537046,42.00675964,PROVIDENCE,CUMBERLAND,BURNT SWAMP BROOK,1893,R,,"EARTH,CONCRETE",140,5.5,10,10,5,9,7,1,18,24,6,4,30,,511,LOW,,LOW,RIDEM 2006,,Y,Y,N,Y,N,SMALL,Y,W,,,,,CUMBERLAND,0,N,
077,DIAMOND HILL RESERVOIR,PAWTUCKET UPPER RESERVOIR,RI00802,3,,-71.39688877,41.98958971,PROVIDENCE,CUMBERLAND,BURNT SWAMP BROOK,1971,S,Y,"EARTH,GRAVITY,CONCRETE",2000,,76,80,71,74,59,12,11000,15680,390,8,3100,280,4680,HIGH,ACOE-1978,HIGH,ACOE 1978 & GZA MAP 2008,,Y,Y,Y,Y,Y,MEDIUM,Y,DS,,,,,CUMBERLAND,1,N,
078,PAWTUCKET RESERVOIR,ARNOLD MILLS RESERVOIR,RI00803,,,-71.39056392,41.98137666,PROVIDENCE,CUMBERLAND,ABBOTT RUN,1928,S,Y,"EARTH,GRAVITY,CONCRETE",2900,,33,33,33,151,29,6.5,5125,5300,255,18,6700,170,1742,HIGH,ACOE-1978,HIGH,GZA 2004,,Y,Y,Y,Y,Y,MEDIUM,Y,DS,,,,,CUMBERLAND,2,N,
079,RAWSON POND,,RI00804,,,-71.38718413,41.96382906,PROVIDENCE,CUMBERLAND,ABBOTT RUN,1885,R,,"MASONRY,GRAVITY,EARTH",200,8,9,8,6,75,8,3.5,128,154,33,19,1720,130,1785,LOW,,SIGNIFICANT,GZA MAP 2008,,Y,Y,Y,Y,Y,SMALL,Y,DS,,,,,CUMBERLAND,1,N,
080,HOWARD POND,,RI04094,,,-71.38750456,41.95567703,PROVIDENCE,CUMBERLAND,ABBOTT RUN,1883,,,,90,3.5,4,,,75,3,1,40,60,17,20,260,,1795,LOW,,LOW,RIDEM 2006,,Y,Y,N,Y,N,SMALL,Y,W,,,,,CUMBERLAND,0,N,
